Question,Marks,Topic,Difficulty
"Given two integer arrays and , find an integer that appears in both arrays (or report that no such integer exists). Assuming , give a crisp and concise algorithm in structured English satisfying following performance requirements: ï‚· The amount of extra space (besides and ) must be constant. It is fine to modify and . ï‚· The worst case running time must be .",6,ARRAY,5
Let A[0 .. n â€“ 1] be an array of numbers. A number A[i] is called a principal if it is greater than the mean of all numbers from A[i] to A[n â€“ 1]. Write an efficient pseudo-code to delete all the principal numbers in the array A. Explain the proposed logic with the help of an example.,3,ARRAY,6
"A Sparse matrix is represented in the form of a linked list, having four different types of nodes (Fig. (10) 3), namely elementNode, 
 columnHeaderNode, rowHeaderNode, and specialHeaderNode. Write
 an efficient algorithm/pseudo-code for these two functions following the given function signatures
 and template (Fig. 4). Assume the functions specified in the template are already implemented.
 (a)Compute sum of two sparse matrices.
 specialHeaderNode* sparseMatAdd (specialHeaderNode *mat1, specialHeaderNode *mat2)",5,ARRAY,6
"Insert new elementNode at its correct place in the matrix.
specialHeaderNode* insert(specialHeaderNode *mat1, elementNode *e)
};
struct elementNode
{ int rowNum, colNum, val;
elementNode *nextEleNodeInRow;
elementNode *nextEleNodeInCol; };
struct columnHeaderNode { int columnNum;
elementNode *firstEleInCol; columnHeaderNode *nextColHeader;
struct rowHeaderNode { int rowNum;
elementNode *firstEleInRow;
rowHeaderNode *nextRowHeader;
};
struct specialHeaderNode 17.{ int totalRow, totalCol;
columnHeaderNode *ColHeader;
rowHeaderNode *RowHeader;
};
//Function that creates, initializes, and returns a new elementNode. It initializes both the
//member pointers in elementNode structure to NULL.
elementNode* newElementNode(int row, int column, int value);
//Function that creates and initializes row as well as column header nodes for a particular
//matrix. It initializes all the member pointers in columnHeaderNode and rowHeaderNode
//structures to NULL.
specialHeaderNode* generateRowColHeaders(specialHeaderNode *mat1, int totalRow, int totalCol);",5,ARRAY,8
"Predict output of following program
int main()
{
int i;
int arr[5] = {1};
for (i = 0; i < 5; i++)
printf(""%d "", arr[i]);
return 0;
}",4,ARRAY,2
"Predict output of the following program:
int main()
{
int a[][] = {{1,2},{3,4}};
int i, j;
for (i = 0; i < 2; i++)
for (j = 0; j < 2; j++)
printf(""%d "", a[i][j]);
return 0;
}",4,ARRAY,2
"For a C program accessing X[i][j][k], the following intermediate code is generated by a compiler. Assume that the size of an integer is 32 bits and the size of a character is 8 bits.

t0 = i * 1024
t1= j * 32
t2 = k * 4
t3 =t1 + t0
t4 = t3 + t2
t5 = X[t4]
Which one of the following statement about the source code of C program is correct?",8,ARRAY,5
How do you find the missing number in a given integer array of 1 to 100?,8,ARRAY,9
How do you find the duplicate number on a given integer array?,8,ARRAY,9
How do you find the largest and smallest number in an unsorted integer array?,8,ARRAY,9
